AgeCal (Valero-Garces et al 2019),Composite depth (cm),TC,TS,TIC,TOC
74441.8,4163.50,7.7477,0.48616,6.3296,1.4181
74503.7,4171.13,7.3519,0.47165,5.9807,1.3712
74573,4178.00,10.723,0.17271,9.3229,1.4001
74666.3,4188.30,10.712,0.11106,9.5635,1.1485
74768.5,4198.70,10.642,0.076102,9.8568,0.7852
74873.4,4209.00,10.61,0.45123,9.8041,0.805899999999999
74943.7,4219.40,8.2112,0.82729,5.4293,2.7819
75059.1,4229.70,6.4523,0.54812,5.2962,1.1561
75151.9,4238.00,5.732,0.54518,4.8297,0.9023
75236.5,4248.20,5.7075,2.3619,4.8069,0.9006
75336.3,4258.30,6.4183,0.15493,5.7173,0.701000000000001
75422.8,4268.50,5.4219,0.061031,4.7193,0.7026
75516.3,4278.70,5.5206,0.027037,4.7629,0.7577
75613.4,4288.80,6.086,0.024409,5.2784,0.8076
75717.6,4298.00,6.0002,0.010828,5.2238,0.776400000000001
75823.7,4308.00,5.8649,0.063127,4.9514,0.9135
75917.5,4318.00,9.1494,0.018356,7.9734,1.176
76012,4328.00,9.7249,0.30108,7.7758,1.9491
76798.8,4404.00,13.016,0.0015128,11.264,1.752
76906.3,4414.00,12.746,0.0041531,11.337,1.409
77008.4,4424.00,12.498,0.0063666,11.159,1.339
77108.4,4434.00,13.282,0.01238,11.182,2.1
77219.7,4444.00,10.741,0.60168,9.3495,1.3915
77339.1,4454.00,12.174,0.00031627,10.977,1.197
77438.7,4464.00,12.305,0.0014481,10.709,1.596
77542.8,4474.00,14.594,0.04561,10.133,4.461
77632.1,4484.00,12.383,0.74978,9.3654,3.0176
77724.6,4494.00,9.0181,0.015144,6.5195,2.4986
77826.9,4504.00,20.915,0.60288,5.3674,15.5476
77911.9,4514.00,26.189,1.1275,5.6635,20.5255
78014.1,4524.00,15.992,0.42642,6.236,9.756
78115.9,4534.00,7.7298,0.14163,5.6614,2.0684
78900.6,4610.00,7.4364,0.19679,6.6661,0.7703
79009.5,4620.00,2.8771,0.58886,2.2901,0.587
79124.1,4630.00,0.98134,1.0777,0.51623,0.46511
79232.4,4640.00,5.1624,0.51275,4.4718,0.6906
79351.5,4650.00,3.2613,0.45102,2.8089,0.4524
79454.6,4660.00,2.1498,0.40226,1.965,0.1848
79561.7,4670.00,2.2713,1.1817,2.0919,0.1794
79673.3,4680.30,4.4499,0.017497,4.0959,0.354
79781.3,4690.70,4.6538,0.015673,4.3253,0.3285
79892,4701.00,5.5054,-0.0014741,4.6418,0.8636
79990.6,4711.40,5.3689,0.00047406,4.6187,0.7502
80104.4,4721.70,3.8053,0.18303,3.3607,0.4446
80196.5,4730.00,3.4267,0.089367,3.1314,0.2953
80296.5,4740.00,4.9084,0.011002,4.0457,0.8627
80402.2,4750.00,4.5395,0.038892,3.663,0.8765
80518.3,4760.00,5.5915,0.13432,4.1583,1.4332
80638.6,4770.00,3.0286,0.0089307,1.7365,1.2921
80734.3,4780.00,3.8224,0.013925,2.5577,1.2647
80879.8,4796.00,6.1432,0.011785,4.5786,1.5646
80998,4805.80,6.8111,0.011787,5.1072,1.7039
81131.8,4815.70,5.0518,0.02215,4.7376,0.3142
81226.6,4825.50,5.5832,0.17974,5.3613,0.2219
81320.3,4835.30,4.6225,0.17791,4.2192,0.4033
81445.6,4845.20,4.647,0.10752,4.0892,0.5578
82340.6,4922.00,12.003,0.46863,0.98189,11.02111
82437.4,4930.60,11.622,1.1477,9.7822,1.8398
82551.4,4939.30,13.545,0.030947,11.461,2.084
82571.1,4941.00,13.294,0.015291,12.29,1.004
82663.3,4949.70,9.4771,0.084937,6.252,3.2251
82763.9,4958.30,29.804,5.2844,3.5357,26.2683
82865.5,4967.00,32.984,7.2767,3.285,29.699
82982.4,4975.70,18.324,3.9332,0.66163,17.66237
83072.7,4984.30,5.1532,1.5265,0.18591,4.96729
83181.2,4993.00,9.6949,0.66004,6.9985,2.6964
83295,5001.70,1.3049,4.0252,0.37383,0.93107
83398.9,5010.30,5.1742,2.7186,0.080491,5.093709
83588.5,5019.00,14.989,6.6376,0.21459,14.77441
83781.8,5027.70,12.02,5.7266,0.10946,11.91054
83983.2,5036.30,14.415,0.16738,10.327,4.088
84197,5045.00,17.755,0.81124,4.5692,13.1858
84401,5053.40,14.825,0.1165,9.3138,5.5112
84593.3,5061.80,11.438,0.17373,10.215,1.223
84809.3,5070.20,8.6398,0.083509,7.1625,1.4773
85027.3,5078.60,12.427,0.04855,11.398,1.029
85243.8,5087.00,13.8,0.24436,10.45,3.35
85376.8,5092.00,12.75,0.083298,10.863,1.887
85564.2,5100.50,9.5127,0.12928,7.9135,1.5992
85767.8,5109.00,8.8453,0.51398,7.2811,1.5642
85977.7,5117.50,7.4576,0.58279,7.3986,0.059
86188.3,5126.00,5.5668,0.12839,4.5746,0.9922
86385.6,5134.50,7.4223,0.45088,6.7495,0.6728
86591.2,5143.00,11.083,0.19137,10.444,0.638999999999999
86787.6,5151.00,9.1537,2.0562,7.5817,1.572
86980.9,5159.50,7.2306,0.86351,7.0797,0.1509
87178.5,5168.00,7.7971,0.0059878,7.6318,0.1653
87382.3,5176.50,8.2418,-0.0051551,8.115,0.126799999999999
87580.3,5185.00,8.1,-0.027343,8.1533,-0.0533
87764.4,5193.50,7.214,0.013099,6.6638,0.5502
87981.8,5202.00,7.4941,0.13455,7.2386,0.2555
88171,5210.50,7.3776,0.034273,7.4335,-0.0559
88364.7,5219.10,6.8776,0.009013,6.7894,0.088200000000001
88541.7,5227.60,6.46,0.28067,6.0942,0.3658
88710.6,5236.10,6.9766,0.10938,6.7143,0.262300000000001
88893.8,5244.60,6.4217,0.018395,6.1169,0.3048
88917,5245.50,7.6697,0.045098,7.3977,0.271999999999999
89095.1,5253.90,5.3749,0.38803,4.9379,0.437
89266.9,5262.30,5.5514,4.5225E-05,4.9217,0.6297
89487,5270.80,7.0222,0.025623,6.8921,0.1301
89680.9,5279.20,7.5588,0.33818,7.1778,0.380999999999999
89899.7,5287.60,7.0293,0.00077303,6.8565,0.172800000000001
90094.2,5296.00,8.1961,0.019094,8.1363,0.059799999999999
90304.7,5304.40,7.5464,0.061944,7.4904,0.056
90510.4,5312.80,8.2911,1.8004,8.059,0.232100000000001
90741.1,5321.30,7.1554,2.2538,7.0921,0.0633
90954.8,5329.70,10.698,0.1036,10.749,-0.051
91176.4,5338.10,9.9867,0.16414,9.884,0.1027
91393.2,5346.50,6.738,0.65117,6.7664,-0.0284
91621.3,5354.90,7.3097,0.1272,7.2604,0.049300000000001
91861.4,5363.30,7.2823,0.10676,7.3405,-0.058199999999999
92309.2,5378.50,6.6407,0.33593,6.5557,0.085
92539,5387.00,7.3014,1.4981,7.1917,0.1097
92772.6,5395.40,8.1598,0.07315,8.1987,-0.0389
93011.6,5403.90,7.5651,0.030444,8.0029,-0.4378
93212.7,5411.50,7.6531,0.10658,7.7663,-0.1132
93446.1,5419.90,7.542,0.10061,7.3756,0.166399999999999
93676.1,5428.30,7.5202,0.11443,7.5772,-0.057
93908.3,5436.80,0.52509,0.59108,0.19295,0.33214
94147.5,5445.20,34.52,4.4596,2.6779,31.8421
94354.7,5453.60,5.0172,1.3005,0.27753,4.73967
94583.1,5462.00,16.558,3.629,1.2849,15.2731
94827.2,5471.20,8.8852,2.1613,0.52791,8.35729
95076.4,5480.50,26.488,4.9038,1.4063,25.0817
95294.5,5489.70,26.139,4.7596,1.377,24.762
95466.1,5496.20,14.93,0.7745,8.1969,6.7331
95697.9,5505.40,10.661,1.1928,8.3607,2.3003
95927.8,5514.60,10.261,1.4284,8.523,1.738
96182.3,5523.80,10.446,0.16782,8.6819,1.7641
96410,5533.00,34.223,7.5252,0.76197,33.46103
96673.4,5542.20,11.437,2.4846,0.43617,11.00083
96925.3,5551.40,29.684,7.0344,1.3485,28.3355
97008.2,5554.20,15.767,0.16551,10.236,5.531
97264.2,5563.40,14.52,0.052863,10.283,4.237
97509.1,5572.60,11.703,3.5484,0.22581,11.47719
97761.6,5581.80,7.5401,0.39459,4.9287,2.6114
98020,5591.00,8.777,0.60276,7.0572,1.7198
98461.5,5606.70,6.9222,0.97402,5.834,1.0882
98695.2,5615.90,7.2157,0.54693,6.2411,0.9746
98954.9,5625.10,7.3602,1.813,6.5536,0.8066
99197.8,5634.40,7.066,1.3124,6.3496,0.7164
99441,5643.60,4.9725,0.89788,3.9724,1.0001
99711.1,5652.80,7.0689,0.39043,6.3537,0.7152
99941.5,5662.00,6.4092,0.17372,5.5047,0.904500000000001
100171.2,5670.70,8.4665,0.20048,7.3326,1.1339
100379.8,5679.30,8.3952,0.30028,6.8694,1.5258
100609.9,5688.00,7.3576,0.14059,6.1849,1.1727
100824.1,5696.70,8.0862,0.35266,6.9227,1.1635
101054.1,5705.30,8.1452,0.24857,7.1173,1.0279
101259.1,5714.00,8.5723,0.15132,7.774,0.7983
101472.1,5722.60,12.409,0.044502,12.126,0.283000000000001
101696.2,5731.10,12.057,0.35666,11.789,0.268000000000001
101882.6,5739.70,12.485,0.050142,12.166,0.318999999999999
102079.3,5748.30,12.359,-0.0077268,12.074,0.285
102274.2,5756.90,12.671,-0.0077349,12.319,0.351999999999999
102378.2,5762.00,12.422,-0.0043679,12.199,0.223000000000001
102586.9,5770.00,12.599,-0.015478,12.48,0.119
102812.9,5778.00,12.719,-0.0041808,12.311,0.408
103122.1,5790.00,12.77,0.058879,12.192,0.577999999999999
103317,5798.00,12.589,0.048189,12.433,0.156000000000001
103541.1,5806.00,12.832,0.00018399,12.186,0.646000000000001
103735.6,5814.00,12.529,0.0020556,8.6452,3.8838
103946.9,5822.00,12.667,0.0010618,11.824,0.843
104414.1,5838.00,12.289,-0.006945,11.363,0.926
104654.3,5846.00,12.396,0.0075218,11.469,0.927000000000001
104886.4,5854.00,12.186,0.008913,11.451,0.734999999999999
105128.2,5862.00,12.849,0.0090422,11.649,1.2
105337.8,5870.00,13.444,0.016774,11.958,1.486
105567.6,5878.00,10.653,-0.0015004,10.353,0.300000000000001
105795.3,5886.00,10.443,-0.007086,10.019,0.424
106041.3,5893.90,9.9179,-0.0048537,9.0762,0.841699999999999
106260.8,5901.90,9.5187,0.41618,8.4324,1.0863
106502.1,5909.80,8.9832,0.20895,7.9005,1.0827
106732.4,5917.70,8.5466,0.12895,7.765,0.7816
106961.4,5925.70,7.9378,0.18752,7.2863,0.6515
107141.7,5932.00,9.6637,-0.0025824,8.8587,0.805
107342.9,5939.90,8.7957,0.2166,8.122,0.6737
107553.4,5947.80,8.7434,0.31849,8.2239,0.519499999999999
107782.4,5955.70,8.3922,0.26154,7.9602,0.432
107950.9,5962.00,8.2288,0.053379,7.4267,0.802099999999999
108103.2,5969.60,8.7395,0.20369,8.2381,0.5014
108301.3,5977.10,9.0249,0.12634,8.1159,0.909000000000001
108666.3,5992.30,9.3109,0.040049,8.784,0.5269
108837.6,5999.80,12.358,0.055208,10.518,1.84
109046.6,6007.40,12.768,0.042124,11.618,1.15
109215.9,6015.00,13.98,0.011648,11.746,2.234
109354.8,6022.50,12.781,0.0031211,11.82,0.961
109551.5,6030.10,12.939,0.028723,12.259,0.68
109721.7,6037.70,11.102,0.012938,10.272,0.83
109899.4,6045.30,11.458,0.027379,9.0399,2.4181
110011.4,6049.80,11.52,-0.070777,11.077,0.443
110192.3,6057.40,11.412,-0.030402,10.901,0.511000000000001
110374.9,6065.00,11.844,-0.0090574,11.594,0.25
110568.3,6072.60,12.404,0.0060534,12.409,-0.005000000000001
110741.2,6080.20,9.1653,0.012772,8.6394,0.5259
110926.4,6087.80,11.182,0.021149,10.774,0.408000000000001
110944.5,6087.00,11.245,0.00075616,11.017,0.228
111123.6,6094.60,12.235,0.0086242,12.262,-0.027000000000001
111326.1,6102.10,13.071,0.052402,12.916,0.154999999999999
111513.5,6109.70,13.016,-0.0042757,12.76,0.256
111686,6116.50,13.052,-0.013304,12.626,0.426
111887.1,6124.10,13.108,0.060363,12.689,0.419000000000001
112292.7,6139.20,12.947,0.0009687,12.508,0.439
112486.9,6146.80,11.374,-0.00042294,11.054,0.32
112663.5,6154.30,12.167,-0.0010716,11.971,0.196
112723.8,6156.60,12.745,0.0015734,12.475,0.27
112921.9,6164.20,13.093,0.0013082,12.705,0.388
113087.6,6171.70,12.974,-0.024519,12.543,0.431000000000001
113278.9,6179.30,13.183,0.0017473,12.758,0.425000000000001
113463.2,6186.90,13.186,-0.0058215,12.827,0.359
113634.4,6194.40,40.678,4.7146,8.6448,32.0332
113819.6,6202.00,45.486,5.4621,3.2385,42.2475
114009.8,6210.10,40.99,5.1519,7.5032,33.4868
114219.1,6218.20,21.127,0.61461,9.7177,11.4093
114395,6226.30,17.188,0.05957,10.646,6.542
114582.7,6234.30,19.653,0.25101,10.054,9.599
114698,6240.00,14.491,0.043593,11.881,2.61
114896.9,6248.10,13.738,0.021716,12.421,1.317
115085.2,6256.20,14.197,-0.0056435,12.437,1.76
115251.6,6264.30,13.88,0.0015444,12.455,1.425
115487.6,6278.00,14.327,0.018785,12.058,2.269
115803.8,6294.10,13.555,-0.0049814,12.388,1.167
115967.8,6302.20,13.796,0.011448,12.559,1.237
116133.1,6310.30,15.814,0.041533,11.764,4.05
116294.7,6318.40,15.631,0.02656,11.404,4.227
116405.6,6324.00,13.298,0.0068129,12.059,1.239
116564.8,6332.10,12.205,0.037761,10.617,1.588
116724.7,6340.10,11.851,0.13977,9.5167,2.3343
116893.8,6348.20,11.797,0.14995,8.6895,3.1075
117054.5,6356.30,10.359,0.032009,9.1724,1.1866
117218.2,6364.40,7.4986,0.044644,7.1228,0.3758
117320.3,6369.20,7.0131,0.061217,6.3235,0.6896
117493.3,6377.30,3.9559,0.10504,3.822,0.1339
117655.5,6385.30,4.7633,0.27953,4.3983,0.365
118003.1,6401.50,5.2204,1.0885,4.8873,0.3331
118003.1,6410.00,5.878,0.17343,5.6705,0.2075
118317,6415.20,5.8449,1.9933,5.5199,0.325
118479.2,6423.30,7.5122,0.4904,7.0506,0.4616
118644.9,6431.30,7.9884,0.11382,7.4617,0.5267
118801.4,6439.40,7.0159,0.5774,8.181,-1.1651
118966.6,6447.50,8.52,0.40529,8.2044,0.3156
119125.6,6455.50,10.697,0.10192,9.8978,0.799199999999999
119281.5,6462.00,9.1512,0.088049,8.7806,0.3706
119467.5,6471.10,8.5961,0.22806,8.1852,0.4109
119651.8,6480.10,8.9124,0.025731,8.1121,0.8003
119841.3,6489.20,8.6048,0.032089,7.9051,0.699699999999999
120017.5,6498.30,11.646,0.028584,10.286,1.36
120216.8,6507.40,12.648,0.0043368,12.208,0.44
120297.7,6511.00,12.788,0.057402,12.458,0.33
120405.5,6520.00,12.739,0.066883,12.147,0.592000000000001
120520.8,6529.10,13.144,0.0079416,12.365,0.779
120600.9,6534.50,12.775,-0.0032332,12.349,0.426
120876,6552.60,11.891,0.18866,10.974,0.917
121005.4,6561.70,12.268,0.034782,11.233,1.035
121130.6,6570.80,13.255,0.012954,11.892,1.363
121264.2,6579.90,13.425,0.012077,11.691,1.734
121315.5,6583.50,13.396,0.019965,11.573,1.823
121451.5,6592.50,14.294,0.030574,11.867,2.427
121582.5,6601.40,13.182,0.0098082,12.104,1.078
121724,6610.40,12.72,0.0062202,11.061,1.659
121872.6,6619.30,13.667,0.0093836,11.869,1.798
121971.2,6626.50,13.335,0.012453,11.883,1.452
122108.2,6635.50,12.783,0.016278,11.123,1.66
122245.9,6644.50,13.39,0.013678,12.129,1.261
122397.7,6653.40,10.037,0.21287,8.6894,1.3476
122542.4,6662.40,10.131,0.3523,8.6975,1.4335
122698.3,6670.50,10.594,0.1816,8.7505,1.8435
122845.3,6679.50,9.9692,0.14595,8.0395,1.9297
122968.4,6688.60,11.097,0.12007,8.5663,2.5307
123124.2,6697.60,11.524,0.072969,9.2433,2.2807
123260.2,6706.60,8.2657,0.46253,7.3376,0.928100000000001
123405.9,6715.70,8.109,0.48866,7.6085,0.5005
123506.1,6722.00,7.2614,0.78792,6.4083,0.8531
123703.2,6735.50,7.9468,0.3847,7.3535,0.593299999999999
123907.3,6749.00,6.8821,0.59326,5.9536,0.928500000000001
124108.2,6762.50,7.1401,0.53406,6.1798,0.9603
124268.6,6776.00,6.9972,0.67216,6.16,0.8372
124434.5,6789.50,6.6608,0.69015,6.0221,0.6387
124603.5,6803.00,6.9259,0.67598,6.6297,0.296200000000001
124765.3,6816.50,10.226,0.38215,7.6534,2.5726
124809.8,6820.50,27.859,2.6952,6.1181,21.7409
124994.5,6834.00,28.874,5.5857,2.1471,26.7269
125172.7,6847.50,25.483,1.0744,8.8018,16.6812
125345.2,6861.00,17.412,0.1322,10.772,6.64
125527.1,6874.50,25.204,0.626,10.394,14.81
125668.4,6888.00,15.287,0.026801,11.961,3.326
125796.1,6897.50,21.807,0.50586,10.078,11.729
125987.3,6912.00,11.812,0.36887,8.0758,3.7362
126081,6919.30,13.493,0.0014954,11.861,1.632
126163.4,6926.70,13.347,-0.0052373,12.516,0.831
126236.8,6931.80,13.157,0.0069087,12.535,0.622
126340.9,6939.10,13.384,-0.029163,12.531,0.853
126428.7,6946.40,13.217,0.02495,12.421,0.796000000000001
126621.3,6961.10,13.298,0.0068719,12.461,0.837
126706,6968.40,13.259,-0.0051535,12.365,0.894
126739.8,6970.60,13.104,0.048751,12.352,0.751999999999999
126847.3,6977.90,13.277,0.0063171,12.457,0.819999999999999
126926.8,6985.30,13.31,-0.0043324,12.534,0.776
126948.7,6988.20,13.042,0.046054,12.402,0.640000000000001
127045.9,6995.60,12.907,0.0065217,12.365,0.542
127130.7,7002.90,13.132,-0.010381,12.581,0.551
127322,7017.70,13.155,0.016283,12.2,0.955
127398.6,7025.00,12.672,0.015135,12.017,0.655000000000001
127454.1,7028.70,13.03,0.0093159,11.982,1.048
127552,7036.00,12.975,0.0050523,12.973,0.001999999999999
127623.5,7043.40,12.82,0.057834,12.438,0.382
127713.4,7050.70,12.982,0.0058007,12.516,0.465999999999999
127836.1,7060.20,13.218,0.012059,12.52,0.698
127913.1,7067.50,13.292,0.041416,12.746,0.545999999999999
127992.9,7074.90,15,0.043698,11.543,3.457
128078.1,7082.20,14.3,0.023616,12.232,2.068
128171.5,7089.50,18.031,0.14295,11.563,6.468
128256.1,7096.90,13.255,0.0033206,12.397,0.858000000000001
128320.7,7102.00,12.528,0.057456,11.919,0.609
128559.1,7122.60,12.876,0.0047116,11.796,1.08
128694.7,7132.90,14.038,0.027799,11.775,2.263
128747,7137.00,13.72,-0.021155,10.507,3.213
128883.8,7147.20,9.1994,0.034371,8.3837,0.815700000000001
129002.1,7157.40,9.3386,0.02516,8.2061,1.1325
129117.9,7167.70,10.683,0.041378,7.3248,3.3582
129225.1,7177.90,14.824,3.2195,0.6679,14.1561
129298.9,7184.00,17.638,2.5021,0.40807,17.22993
129413.7,7194.00,8.6347,1.5602,0.33361,8.30109
129555.4,7204.00,11.452,0.075691,7.4456,4.0064
129677.4,7214.00,14.308,0.022211,10.9,3.408
129796.9,7224.00,22.255,1.8235,1.3281,20.9269
129903.4,7234.00,14.678,2.376,0.81059,13.86741
130023.8,7244.00,10.145,0.027323,9.7091,0.4359
130141.7,7254.20,8.7499,0.066074,8.464,0.2859
130290.7,7264.30,6.5199,0.054931,6.1021,0.4178
130431.3,7274.50,3.9379,0.54874,3.7802,0.1577
130606.8,7284.70,2.5028,0.67343,2.1137,0.3891
130772,7294.80,2.3157,0.95114,2.0084,0.3073
130912.6,7304.00,1.9622,1.7039,1.7367,0.2255
131051.8,7314.20,1.8926,0.60174,1.7405,0.1521
131200.6,7324.40,3.4861,0.35849,2.1455,1.3406
131645.541176471,7354.90,2.1764,0.87333,2.0017,0.1747
131734.529411765,7361.00,2.2465,1.2608,2.1702,0.0763
